GCA_030737835.1	Acorus gramineus	Liliopsida;Acorales;Acoraceae;Acorus;Acorus gramineus	Eukaryota;Streptophyta;Magnoliopsida;Acorales;Acoraceae;Acorus;Acorus gramineus	25727
GCA_037176725.1	Posidonia oceanica	Liliopsida;Alismatales;Posidoniaceae;Posidonia;Posidonia oceanica	Eukaryota;Streptophyta;Magnoliopsida;Alismatales;Posidoniaceae;Posidonia;Posidonia oceanica	24683
GCA_012295165.1	Asparagus setaceus	Liliopsida;Petrosaviidae;Asparagales;Asparagaceae;Asparagoideae;Asparagus;Asparagus setaceus	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Asparagaceae;Asparagus;Asparagus setaceus	32474
GCA_006176705.1	Cocos nucifera	Liliopsida;Petrosaviidae;commelinids;Arecales;Arecaceae;Arecoideae;Cocoseae;Attaleinae;Cocos;Cocos nucifera	Eukaryota;Streptophyta;Magnoliopsida;Arecales;Arecaceae;Cocos;Cocos nucifera	31565
GCA_027726005.1	Juncus effusus	Liliopsida;Petrosaviidae;commelinids;Poales;Juncaceae;Juncus;Juncus effusus	Eukaryota;Streptophyta;Magnoliopsida;Poales;Juncaceae;Juncus;Juncus effusus	29099
GCF_001433935.1	Oryza sativa	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Oryzoideae;Oryzeae;Oryzinae;Oryza;Oryza sativa;Oryza sativa Japonica Group	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Oryza;Oryza sativa	38104
GCA_023646675.1	Avena sativa	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Pooideae;Poodae;Poeae;Poeae Chloroplast Group 1 (Aveneae type);Aveninae;Avena;Avena sativa	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Avena;Avena sativa	140237
GCA_000005505.4	Brachypodium distachyon	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Pooideae;Stipodae;Brachypodieae;Brachypodium;Brachypodium distachyon	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Brachypodium;Brachypodium distachyon	31709
GCA_904849725.1	Hordeum vulgare	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Pooideae;Triticodae;Triticeae;Hordeinae;Hordeum;Hordeum vulgare;Hordeum vulgare subsp. vulgare	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Hordeum;Hordeum vulgare	51568
GCA_902687465.1	Secale cereale	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Pooideae;Triticodae;Triticeae;Hordeinae;Secale;Secale cereale	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Secale;Secale cereale	82130
GCA_021605205.1	Aegilops longissima	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Pooideae;Triticodae;Triticeae;Triticinae;Aegilops;Aegilops longissima	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Aegilops;Aegilops longissima	79806
GCF_002575655.2	Aegilops tauschii 	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Pooideae;Triticodae;Triticeae;Triticinae;Aegilops;Aegilops tauschii;Aegilops tauschii subsp. strangulata	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Aegilops;Aegilops tauschii	134333
GCA_018294505.1	Triticum aestivum	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;BOP clade;Pooideae;Triticodae;Triticeae;Triticinae;Triticum;Triticum aestivum	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Triticum;Triticum aestivum	310065
GCA_030411765.1	Eleusine indica	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;PACMAD clade;Chloridoideae;Cynodonteae;Eleusininae;Eleusine;Eleusine indica	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Eleusine;Eleusine indica	34637
GCA_903166285.1	Sorghum bicolor	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;PACMAD clade;Panicoideae;Andropogonodae;Andropogoneae;Sorghinae;Sorghum;Sorghum bicolor	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Sorghum;Sorghum bicolor	31505
GCF_902167145.1	Zea mays	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;PACMAD clade;Panicoideae;Andropogonodae;Andropogoneae;Tripsacinae;Zea;Zea mays	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Zea;Zea mays	42058
GCA_005286985.2	Setaria viridis	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;PACMAD clade;Panicoideae;Panicodae;Paniceae;Cenchrinae;Setaria;Setaria viridis	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Setaria;Setaria viridis	35813
GCA_019359835.1	Pharus latifolius	Liliopsida;Petrosaviidae;commelinids;Poales;Poaceae;Pharoideae;Phareae;Pharus;Pharus latifolius	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Pharus;Pharus latifolius	36487
GCA_020740505.1	Typha latifolia	Liliopsida;Petrosaviidae;commelinids;Poales;Typhaceae;Typha;Typha latifolia	Eukaryota;Streptophyta;Magnoliopsida;Poales;Typhaceae;Typha;Typha latifolia	27866
GCA_032878535.1	Musa acuminata	Liliopsida;Petrosaviidae;commelinids;Zingiberales;Musaceae;Musa;Musa acuminata;Musa acuminata subsp. acuminata;Musa acuminata var. zebrina	Eukaryota;Streptophyta;Magnoliopsida;Zingiberales;Musaceae;Musa;Musa acuminata	36594
GCA_018446385.1	Zingiber officinale	Liliopsida;Petrosaviidae;commelinids;Zingiberales;Zingiberaceae;Zingiber;Zingiber officinale	Eukaryota;Streptophyta;Magnoliopsida;Zingiberales;Zingiberaceae;Zingiber;Zingiber officinale	74001
GCF_009730915.1	Dioscorea rotundata	Liliopsida;Petrosaviidae;Dioscoreales;Dioscoreaceae;Dioscorea;Dioscorea cayenensis;Dioscorea rotundata	Eukaryota;Streptophyta;Magnoliopsida;Dioscoreales;Dioscoreaceae;Dioscorea;Dioscorea rotundata	28737
GCA_019914995.1	Acanthochlamys bracteata	Liliopsida;Petrosaviidae;Pandanales;Velloziaceae;Acanthochlamys;Acanthochlamys bracteata	Eukaryota;Streptophyta;Magnoliopsida;Pandanales;Velloziaceae;Acanthochlamys;Acanthochlamys bracteata	25661
